GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.taxdividend.backend.service.impl,FormServiceImpl,308,0,14,0,68,0,20,0,13,0
backend,com.taxdividend.backend.service.impl,AuditServiceImpl,20,397,1,11,3,69,3,18,2,13
backend,com.taxdividend.backend.service.impl,DividendServiceImpl,114,0,0,0,25,0,9,0,9,0
backend,com.taxdividend.backend.service.impl,TaxCalculationServiceImpl,439,408,30,14,124,99,27,13,9,9
backend,com.taxdividend.backend.service.impl,TaxRuleServiceImpl,149,0,6,0,28,0,16,0,13,0
backend,com.taxdividend.backend.service.impl,StorageServiceImpl,284,404,9,5,87,112,11,13,5,12
backend,com.taxdividend.backend.service.impl,PdfGenerationServiceImpl,209,1122,23,21,40,233,19,21,2,14
backend,com.taxdividend.backend.security,UserContext,12,0,0,0,1,0,1,0,1,0
backend,com.taxdividend.backend.api.dto,TreatyRateResponse,223,0,18,0,49,0,29,0,20,0
backend,com.taxdividend.backend.api.dto,HealthCheckResponse,216,41,20,0,39,17,21,12,11,12
backend,com.taxdividend.backend.api.dto,FormGenerationRequest.FormTypeEnum,6,62,1,3,1,12,1,6,0,5
backend,com.taxdividend.backend.api.dto,RegisterUserRequest,201,0,16,0,48,0,26,0,18,0
backend,com.taxdividend.backend.api.dto,GenerateFormResultDTO,274,37,24,0,55,13,29,10,17,10
backend,com.taxdividend.backend.api.dto,VerifyEmailResponseDTO,121,0,12,0,28,0,17,0,11,0
backend,com.taxdividend.backend.api.dto,ListDividends200Response,92,11,10,0,23,3,12,2,7,2
backend,com.taxdividend.backend.api.dto,GeneratedForm,294,31,24,0,59,11,31,10,19,10
backend,com.taxdividend.backend.api.dto,TaxCalculationResultDTO,278,33,24,0,57,11,30,9,18,9
backend,com.taxdividend.backend.api.dto,TaxCalculationBatchResultDTO,181,28,18,0,37,10,20,7,11,7
backend,com.taxdividend.backend.api.dto,TaxRule,359,68,30,0,63,28,33,20,18,20
backend,com.taxdividend.backend.api.dto,Dividend,286,39,24,0,55,15,29,12,17,12
backend,com.taxdividend.backend.api.dto,FormGenerationRequest,296,116,28,0,49,41,26,22,12,22
backend,com.taxdividend.backend.api.dto,RegisterUser200Response,121,0,12,0,28,0,17,0,11,0
backend,com.taxdividend.backend,TaxDividendBackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.taxdividend.backend.controller,TaxRuleController,46,83,0,0,5,15,2,6,2,6
backend,com.taxdividend.backend.controller,AuthController,39,0,0,0,9,0,2,0,2,0
backend,com.taxdividend.backend.controller,DividendController,115,111,2,2,27,23,5,7,3,7
backend,com.taxdividend.backend.controller,HealthController,11,214,2,14,3,52,2,13,0,7
backend,com.taxdividend.backend.controller,FormController,186,138,8,2,41,27,9,6,4,6
backend,com.taxdividend.backend.config,InternalSecurityConfig,91,0,0,0,16,0,6,0,6,0
backend,com.taxdividend.backend.config,MinioConfig,23,0,0,0,7,0,3,0,3,0
backend,com.taxdividend.backend.config,InternalSecurityConfig.InternalSecurityFilter,140,0,18,0,36,0,13,0,4,0
backend,com.taxdividend.backend.api,TaxRulesApi,146,0,16,0,37,0,17,0,9,0
backend,com.taxdividend.backend.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
backend,com.taxdividend.backend.api,DividendsApi,151,0,16,0,38,0,18,0,10,0
backend,com.taxdividend.backend.api,FormsApi,120,0,12,0,30,0,15,0,9,0
backend,com.taxdividend.backend.api,AuthApi,74,0,8,0,19,0,9,0,5,0
backend,com.taxdividend.backend.api,HealthApi,48,0,4,0,12,0,7,0,5,0
backend,com.taxdividend.backend.api,PdfApi,38,0,4,0,10,0,5,0,3,0
backend,com.taxdividend.backend.mapper,TaxRuleMapper,98,0,6,0,30,0,7,0,4,0
backend,com.taxdividend.backend.mapper,FormMapper,104,0,10,0,31,0,9,0,4,0
backend,com.taxdividend.backend.mapper,DividendMapper,114,0,8,0,35,0,9,0,5,0
backend,com.taxdividend.backend.mapper,TaxCalculationMapper,99,0,12,0,28,0,9,0,3,0
backend,com.taxdividend.backend.exception,TaxCalculationException,5,4,0,0,2,2,1,1,1,1
backend,com.taxdividend.backend.exception,StorageException,9,0,0,0,4,0,2,0,2,0
backend,com.taxdividend.backend.exception,PdfGenerationException,0,9,0,0,0,4,0,2,0,2
backend,com.taxdividend.backend.service,ZipService,55,0,2,0,13,0,3,0,2,0
backend,com.taxdividend.backend.service,EmailService,58,0,0,0,17,0,2,0,2,0
